CENTRAL SPAD,ISM_D1,ISM_D3,ISM_D5,ISM_D7,err CENTAL SPAD,err ISM_D1,err ISM_D3,err ISM_D5,err ISM_D7,FILE,ROI CENTRAL SPAD,ROI ISM_D1,ROI ISM_D3,ROI ISM_D5,ROI ISM_D7
6.3148,6.5802,6.6604,6.7281,7.0613,0.3541,0.0695,0.0573,0.1058,0.0998,Qdots_770nm_34mW_FOV5um_64x64_60rip_2msPixel_ROI6,2,1,1,1,1
8.377,7.5061,8.4429,8.5378,8.2153,0.3117,0.3179,0.1984,0.2,0.3522,Qdots_770nm_34mW_FOV5um_64x64_60rip_2msPixel_ROI6,8,8,8,8,8
5.9062,5.8244,6.7117,6.814,7.1968,0.3011,0.1378,0.122,0.1464,0.1421,Qdots_770nm_34mW_FOV5um_64x64_60rip_2msPixel_ROI6,9,6,6,5,6
1.5091,6.3851,7.2477,6.4147,6.8904,3.0197,0.1809,0.1319,0.1641,0.151,Qdots_770nm_34mW_FOV5um_64x64_60rip_2msPixel_ROI6,10,5,5,6,5
6.2867,6.7377,6.8881,6.8801,7.8516,0.2204,0.0896,0.0914,0.0764,0.0701,Qdots_770nm_34mW_FOV5um_64x64_60rip_2msPixel_ROI6,3,3,3,3,3
6.1869,4.7278,5.3594,5.9124,6.4039,0.6098,0.2701,0.2092,0.1439,0.1415,Qdots_770nm_34mW_FOV4um_64x64_100rip_1msPixel_ROI8,0,0,0,0,0
4.7262,6.7591,3.0401,2.8927,8.0424,0.2665,0.2334,1.1544,1.8083,0.1133,Qdots_770nm_34mW_FOV4um_64x64_100rip_1msPixel_ROI8,1,2,2,2,2
3.1869,6.0555,6.6993,7.1997,7.9655,0.5425,0.4862,0.3202,0.2608,0.2444,Qdots_770nm_34mW_FOV4um_64x64_100rip_1msPixel_ROI8,2,3,3,3,3
2.8661,6.6842,7.238,7.6511,8.1165,0.8811,0.3953,0.2385,0.1479,0.1033,Qdots_770nm_34mW_FOV4um_64x64_100rip_1msPixel_ROI8,3,4,4,4,4
4.4309,6.3032,6.5933,6.9971,7.6285,0.1765,0.2077,0.1562,0.0931,0.0846,Qdots_770nm_34mW_FOV4um_64x64_100rip_1msPixel_ROI8,4,5,5,5,5
6.6285,7.4826,7.7666,8.1086,8.8316,0.2224,0.1474,0.1258,0.1336,0.1362,Qdots_770nm_34mW_FOV4um_64x64_100rip_1msPixel_ROI8,5,7,6,6,6
2.7082,7.3144,7.7447,8.1029,9.0205,1.3869,0.2754,0.2283,0.2473,0.2221,Qdots_770nm_34mW_FOV4um_64x64_100rip_1msPixel_ROI8,6,6,7,7,7
2.6477,7.3249,7.7163,8.3716,9.1483,1.3009,0.2974,0.242,0.1804,0.2021,Qdots_770nm_34mW_FOV4um_64x64_100rip_1msPixel_ROI8,7,8,8,8,8
6.734,6.843,6.8812,7.8222,8.1139,0.3313,0.1668,0.163,0.1139,0.1138,Qdots_770nm_34mW_FOV5um_64x64_30rip_5msPixel_ROI5,0,0,0,0,0
1.9976,7.6425,7.8362,7.1359,8.3079,1.1084,0.0973,0.0812,0.1553,0.1172,Qdots_770nm_34mW_FOV5um_64x64_30rip_5msPixel_ROI5,1,2,2,1,1
6.804,6.946,7.1609,7.2698,7.6348,0.282,0.1889,0.1977,0.2059,0.2146,Qdots_770nm_34mW_FOV5um_64x64_30rip_5msPixel_ROI5,2,1,1,2,2
8.2095,8.7791,8.7934,8.7463,9.2268,0.3353,0.2292,0.1973,0.1589,0.194,Qdots_770nm_34mW_FOV5um_64x64_30rip_5msPixel_ROI5,4,4,4,4,3
9.744,10.2151,10.0872,9.905,10.5545,0.6227,0.654,0.4873,0.4477,0.1997,Qdots_770nm_34mW_FOV5um_64x64_30rip_5msPixel_ROI5,5,3,3,3,4
8.4222,8.6898,8.8056,8.7987,9.4126,0.3172,0.0985,0.1614,0.21,0.2319,Qdots_770nm_34mW_FOV5um_64x64_30rip_5msPixel_ROI5,3,5,5,5,6
8.817,9.4632,9.5174,10.0924,10.5051,0.2797,0.2044,0.3349,0.2412,0.2766,Qdots_770nm_34mW_FOV5um_64x64_30rip_5msPixel_ROI5,8,6,6,6,7
5.7753,7.3631,7.4615,7.5448,7.9273,0.1071,0.0571,0.0532,0.0524,0.0577,Qdots_770nm_34mW_FOV5um_64x64_50rip_5msPixel_ROI4,0,0,0,0,0
6.9293,7.5211,7.0034,7.7399,8.3191,0.2981,0.1564,0.2275,0.1554,0.1627,Qdots_770nm_34mW_FOV5um_64x64_50rip_5msPixel_ROI4,2,2,2,2,2
1.8474,7.9417,8.9756,9.3454,10.046,3.4524,0.1164,0.1096,0.0896,0.0911,Qdots_770nm_34mW_FOV5um_64x64_50rip_5msPixel_ROI4,5,6,5,5,6
5.2658,7.3927,6.597,7.1262,7.978,0.4614,0.1018,0.0723,0.0692,0.0855,Qdots_770nm_34mW_FOV3um_32x32_50rip_5msPixel_ROI7,0,0,0,0,0
8.8605,10.2598,10.8533,12.0326,15.1604,0.3396,0.3306,0.3559,0.3847,1.3075,Qdots_770nm_34mW_FOV3um_32x32_50rip_5msPixel_ROI7,1,1,1,1,1
1.6705,6.8056,7.2973,8.1014,9.1416,4.0791,0.5619,0.465,0.4181,0.4099,Qdots_37mW_FOV5um_64x64_100rip_5msPixel_ROI3,2,0,0,0,0
7.5879,8.0782,8.4667,9.1664,10.0475,0.4095,0.3974,0.3564,0.3337,0.3528,Qdots_37mW_FOV5um_64x64_100rip_5msPixel_ROI3,0,1,1,1,1
0.4308,10.5733,10.8739,12.3199,13.7471,7200.818,0.9637,1.0354,1.4117,1.6346,Qdots_37mW_FOV5um_64x64_100rip_5msPixel_ROI3,1,2,2,2,2
7.6458,8.4689,8.8501,9.6434,10.8265,0.3488,0.3206,0.3254,0.3358,0.3783,Qdots_37mW_FOV5um_64x64_100rip_5msPixel_ROI3,5,5,4,3,3
5.7051,5.4521,5.98,6.717,7.5403,0.3101,0.4055,0.3261,0.2139,0.1769,Qdots_37mW_FOV5um_64x64_100rip_5msPixel_ROI2,0,0,0,0,0
6.0918,6.4411,6.973,7.943,8.9181,0.2412,0.3465,0.2758,0.1756,0.1805,Qdots_37mW_FOV5um_64x64_100rip_5msPixel_ROI2,1,4,3,3,3
5.9409,7.3601,7.7295,8.5527,9.5113,0.2887,0.2737,0.2437,0.1944,0.2024,Qdots_37mW_FOV5um_64x64_100rip_5msPixel_ROI2,2,3,4,4,4
3.4031,6.6329,7.0399,7.8958,8.8552,2.2212,0.2769,0.2415,0.16,0.1489,Qdots_37mW_FOV5um_64x64_100rip_5msPixel_ROI2,3,2,1,2,2
5.7228,6.3386,6.7831,7.6444,8.5637,0.307,0.3317,0.2873,0.1969,0.1797,Qdots_37mW_FOV5um_64x64_100rip_5msPixel_ROI2,4,1,2,1,1
6.191,6.4244,7.2162,8.4256,9.6541,0.3253,0.4306,0.3686,0.3388,0.3585,Qdots_37mW_FOV5um_64x64_100rip_5msPixel_ROI2,5,5,5,5,5
